product,review,star,gender,age
ヒートテックタートルネックT（9分袖）,黒を購入。会社にも着ていけるので、とても役立つ。肌触りも気持ち良い。,5,男性,50代
ヒートテックタートルネックT（9分袖）,"部屋着や就寝時の下着としてワンサイズ大きいものを敢えて使用しています
ゆったりと着こなせてますが首回りの寒さは感じません
フリースの上下とセットで使用しており
室内での防寒に最適です
",5,男性,40代
ヒートテックタートルネックT（9分袖）,"黒色購入しました。Ｍサイズです。
体のフィット感は調度良いのですが首周りが苦しい感じがします。",3,男性,50代
ヒートテックタートルネックT（9分袖）,暑すぎずちょうど良い着心地です。また購入したいです。,5,男性,回答しない
ヒートテックタートルネックT（9分袖）,"薄さがいいです。
合せやすいライトグレーの復活を切に望みます。
冬場は毎日着用しています。",5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"黒のＭサイズを購入しました。
薄手ですが暖かく重ね着してもモコモコしないので重宝します。",4,男性,50代
ヒートテックタートルネックT（9分袖）,本格的な冬を迎え、半袖丸首のヒートテックから、こちらに移行しました。とても暖かいです。タートルネックの上に九分袖なので、薄いですが、満足のいく暖かさです。,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,首元があったまる。また、９分袖もちょうどよい長さで着心地が良い。,4,男性,60代以上
ヒートテックタートルネックT（9分袖）,ピッタリサイズを買って着たら、最初は良いかなと思ったら、時間がたつにつれちょと寒さを感じる。ちょっと薄い感じ,4,男性,50代
ヒートテックタートルネックT（9分袖）,"黒、ゴルフの時のアンダーで着てます。
動きやすいし、重ね着もしやすいので
重宝します。",5,男性,50代
ヒートテックタートルネックT（9分袖）,WebでXS購入した。サイズがピッタリ、いつも首周りに空きができて寒いけど問題なく暖かい。,4,男性,回答しない
ヒートテックタートルネックT（9分袖）,黒、丁度いい、外出にはトータル2枚、薄着ができます。,4,男性,60代以上
ヒートテックタートルネックT（9分袖）,着る時に前後を間違えることが、アンダーウェア全般にある。タートルだと特に。首のタグは肌にあたるし、プリントだと目立たないし，タートルの場合見えない。裾の表側の前に、わかりやすくロゴマークか何か縫いつけてはどうか。,4,男性,60代以上
ヒートテックタートルネックT（9分袖）,"タートルネックになっているので、冬のインナーにちょうどいいです。
極暖などですと、熱くなりすぎます。
今シーズンは生産がないのが残念でしたが、在庫があり良かったです。
2〜4枚を着回していますが、1シーズンでヨレてくるので、毎年生産してほしいです。",5,男性,40代
ヒートテックタートルネックT（9分袖）,以前買ったヒートテックはサイズがちょうど良かったが 今回のサイズは少し小さいく首の周りが少し苦しい,2,男性,60代以上
ヒートテックタートルネックT（9分袖）,色々と浮気はしましたがやっぱりユニクロのヒートテックが1番です！長持ちもするしフィット感もいいです！タートルネックが店舗に置いてないのはとっても残念です！,5,男性,50代
